Rank,Name,City,Country,Region,Manufacturer,Segment,OS,Cores,Memory,Rmax,Rpeak,Power
419,China Manufacturing Company (A),,China,Asia,Huawei,Industry,Linux,15936,122880,497.8,695.6,243.26
420,Internet Company,Beijing,China,Asia,Sugon,Industry,CentOS,47040,188160,497.3,790.3,730
421,Institute of Process Engineering,Beijing,China,Asia,IPE/Nvidia/Tyan,Academic,Linux,29440,15360,496.5,1012.6,540
422,Government,Beijing,China,Asia,Lenovo,Government,Linux,23040,184320,494.7,884.7,1080
423,Service Provider T,,China,Asia,Lenovo,Industry,Linux,22800,60800,494,839,712.5
424,Service Provider,,China,Asia,Lenovo,Industry,Linux,28000,64000,492.8,985.6,750
425,University of Oxford,Oxford,UK,Europe,Bull,Academic,Ubuntu Linux,10736,11264,492.2,868.7,58.36
426,Software Company,, South Korea,Asia,HPE,Industry,Linux,21648,NULL,491.9,831.3,721.6
427,Energy Company,,US,North America,HPE,Industry,Linux,14496,NULL,491.1,579.8,800.3
428,IT Provider (P),,US,North America,HPE,Industry,Linux,26688,NULL,489.4,576.5,2001.6
429,University of Duisburg-Essen,,Germany,Europe,NEC,Academic,Linux,15000,36096,489.3,528,212.6
430,Government,,China,Asia,Lenovo,Government,Linux,23520,94080,488.9,978.4,1102.5
431,Internet Company,Beijing,China,Asia,Inspur,Industry,CentOS,30720,122880,486.9,1130.5,260
432,Software Company (M),,US,North America,HPE,Industry,Linux,19320,NULL,485.3,741.9,644
433,Software Company (M),,US,North America,HPE,Industry,Linux,19320,NULL,485.3,741.9,644
434,Software Company (M),,US,North America,HPE,Industry,Linux,19320,NULL,485.3,741.9,644
435,Software Company (M),,US,North America,HPE,Industry,Linux,19320,NULL,485.3,741.9,644
436,Saudi Aramco,Dharan,Saudi Arabia,Asia,Lenovo,Industry,Linux,41832,95616,484.5,1606.3,1344.6
437,Amazon Web Services,,US,North America,Amazon,Industry,Linux,26496,105984,484.2,593.5,609.41
438,Hosting Company,,US,North America,HPE,Industry,Linux,20720,NULL,483.9,795.6,1036
439,IT Services Provider ,,US,North America,HPE,Industry,Linux,17920,NULL,482.1,745.5,448
440,Vestas Wind Systems A/S,,Denmark,Europe,Lenovo,Industry,Linux,16848,41600,481.8,522.5,541.54
441,Universitaet Erlangen - Regionales Rechenzentrum Erlangen,Erlangen,Germany,Europe,MEGWARE,Academic,CentOS,14520,46592,481.3,511.1,210
